,swipe_down,swipe_up,palm_release,swipe_right,palm_grab,swipe_left
swipe_down,136,7,3,5,4,0
swipe_up,9,122,0,15,0,9
palm_release,1,0,170,0,4,0
swipe_right,9,17,0,126,1,7
palm_grab,3,0,5,0,147,0
swipe_left,0,12,0,1,0,142
