,swipe_down,swipe_up,palm_release,swipe_right,palm_grab,swipe_left
swipe_down,144,5,0,5,1,0
swipe_up,6,136,0,7,0,6
palm_release,0,0,171,0,4,0
swipe_right,5,10,0,144,0,1
palm_grab,2,0,4,0,149,0
swipe_left,0,6,0,0,0,149
