,swipe_down,swipe_up,palm_release,swipe_right,palm_grab,swipe_left
swipe_down,22,4,0,4,3,2
swipe_up,4,20,0,2,0,4
palm_release,2,0,22,4,1,1
swipe_right,3,1,2,27,1,1
palm_grab,6,0,0,1,22,1
swipe_left,3,5,0,0,1,21
