,swipe_down,swipe_up,palm_release,swipe_right,palm_grab,swipe_left
swipe_down,131,3,1,16,4,0
swipe_up,9,111,1,28,3,3
palm_release,3,5,144,18,1,4
swipe_right,22,28,11,82,3,14
palm_grab,12,4,0,7,132,0
swipe_left,0,1,4,13,0,137
