,swipe_down,swipe_up,palm_release,swipe_right,palm_grab,swipe_left
swipe_down,148,3,0,3,1,0
swipe_up,4,136,0,8,0,7
palm_release,1,0,172,0,2,0
swipe_right,2,7,0,146,1,4
palm_grab,2,0,1,0,152,0
swipe_left,0,6,0,2,0,147
