,swipe_down,swipe_up,palm_release,swipe_right,palm_grab,swipe_left
swipe_down,149,3,0,3,0,0
swipe_up,3,144,0,3,0,5
palm_release,0,0,172,1,2,0
swipe_right,4,7,0,148,0,1
palm_grab,2,0,1,0,152,0
swipe_left,0,6,0,2,0,147
