,non_gesture,swipe_down,virtual_slider_right,pinch_out_vertical,swipe_up,palm_release,virtual_knob_clockwise,pinch_out_horizontal,swipe_right,palm_grab,virtual_slider_left,virtual_knob_anticlockwise,virtual_tap,swipe_left
non_gesture,129,5,0,3,0,0,4,8,0,0,1,0,0,0
swipe_down,4,126,0,0,6,0,7,1,8,1,0,0,2,0
virtual_slider_right,0,0,86,0,13,0,0,0,0,0,54,0,2,5
pinch_out_vertical,3,1,0,117,0,9,4,11,0,1,0,14,0,0
swipe_up,0,7,7,0,99,0,0,0,12,1,4,0,18,7
palm_release,1,1,0,6,0,147,1,3,0,0,0,16,0,0
virtual_knob_clockwise,4,9,0,8,0,4,121,2,1,1,0,10,0,0
pinch_out_horizontal,16,9,0,10,0,1,7,114,2,1,0,0,0,0
swipe_right,0,12,0,0,17,0,1,1,120,0,0,0,5,4
palm_grab,0,2,0,1,0,0,2,1,1,141,0,7,0,0
virtual_slider_left,0,0,56,0,1,0,0,0,0,0,100,0,0,3
virtual_knob_anticlockwise,3,0,0,12,0,11,23,2,0,3,0,106,0,0
virtual_tap,0,3,11,0,12,0,0,0,5,0,1,0,117,6
swipe_left,0,0,6,0,6,0,0,0,4,0,4,0,2,133
