,swipe_down,swipe_up,palm_release,swipe_right,palm_grab,swipe_left
swipe_down,22,5,1,2,0,5
swipe_up,4,18,0,4,1,3
palm_release,3,0,22,1,1,3
swipe_right,5,3,1,22,1,3
palm_grab,1,0,2,0,26,1
swipe_left,3,7,1,2,0,17
