,swipe_down,swipe_up,palm_release,swipe_right,palm_grab,swipe_left
swipe_down,134,0,1,16,4,0
swipe_up,4,120,0,21,0,10
palm_release,1,0,169,0,5,0
swipe_right,13,14,0,127,1,5
palm_grab,1,0,6,0,148,0
swipe_left,0,9,0,2,0,144
