,swipe_down,swipe_up,palm_release,swipe_right,palm_grab,swipe_left
swipe_down,146,4,0,3,2,0
swipe_up,5,142,0,3,0,5
palm_release,0,0,174,1,0,0
swipe_right,4,8,0,146,0,2
palm_grab,1,0,1,0,153,0
swipe_left,0,6,0,3,0,146
