,swipe_down,swipe_up,palm_release,swipe_right,palm_grab,swipe_left
swipe_down,141,6,0,6,2,0
swipe_up,9,141,0,4,0,1
palm_release,0,0,170,0,4,1
swipe_right,5,7,0,147,0,1
palm_grab,2,0,5,0,148,0
swipe_left,0,6,0,0,0,149
